modelo,fold,acuracia,f1_macro,precisao,recall,tempo_ms
Random Forest,41,0.9771303258145363,0.9718785878723893,0.9773304000455364,0.9668702311590893,6547.011599999678
Random Forest,42,0.9779657477025898,0.9731070485078969,0.9784035036083553,0.9683029066809663,8563.188199999786
Random Forest,43,0.9788011695906432,0.9741244298040416,0.9771656710798426,0.9712615570799521,9041.780700000345
Random Forest,44,0.9751461988304093,0.9697477008145111,0.9731972314565412,0.966568433734014,8746.655999999348
Random Forest,45,0.9778613199665831,0.9728544528808195,0.9768046833796366,0.9691784355949009,8665.168700000322
Random Forest,46,0.9784878863826232,0.973530711517546,0.978958823469975,0.9685692227127237,8921.184899999389
Random Forest,47,0.9786967418546366,0.9738301096222779,0.9789627808924397,0.969100440798854,8597.316800000044
Random Forest,48,0.9747258485639687,0.9690274211521452,0.9735203375481055,0.964866123333087,8606.343800000104
Random Forest,49,0.9775456919060053,0.9726103373316016,0.9772406913669766,0.9683646855435849,8714.510100000552
Random Forest,50,0.9755613577023499,0.9700771925271249,0.9747814370768343,0.9657436018070289,8526.446799999576
"SVM (RBF, OvO)",1,0.9631370091896407,0.9567027513860968,0.9630510047388766,0.9520383897821185,53580.44539999992
"SVM (RBF, OvO)",2,0.9613617376775272,0.9548646870398837,0.9578158555016586,0.9528105389811662,52608.53909999969
"SVM (RBF, OvO)",3,0.9629281537176274,0.9567390584644548,0.9607094830868533,0.9538399522854183,54825.399899999866
"SVM (RBF, OvO)",4,0.9585421888053467,0.9511221997656488,0.9559593991205096,0.947797040682886,52290.89449999992
"SVM (RBF, OvO)",5,0.964390142021721,0.9582181399250259,0.9619115484592161,0.9554422573356763,52292.18330000003
"SVM (RBF, OvO)",6,0.9624060150375939,0.9557076777762697,0.9587976893998782,0.9535573289855658,49307.34610000036
"SVM (RBF, OvO)",7,0.9625104427736006,0.9559001376886248,0.9582543660739149,0.9545097737776693,45975.5585999992
"SVM (RBF, OvO)",8,0.9627154046997389,0.9564494134858427,0.9603253512736473,0.9539945813466223,45604.26069999994
"SVM (RBF, OvO)",9,0.9612532637075718,0.9547068856893922,0.9575290861128506,0.9528958265886205,49613.396799999464
"SVM (RBF, OvO)",10,0.9636553524804178,0.9574995871751608,0.9631349244852382,0.9533539073868399,55152.62359999906
"SVM (RBF, OvO)",11,0.9633458646616542,0.9567666583941549,0.9615608378461064,0.953124864853935,51613.20530000012
"SVM (RBF, OvO)",12,0.9626148705096074,0.95591815335498,0.9597535960939413,0.9531371392953485,50553.10830000053
"SVM (RBF, OvO)",13,0.960735171261487,0.9541642939862146,0.9577934700356621,0.9517580548443861,48984.14919999959
"SVM (RBF, OvO)",14,0.9662698412698413,0.9610210185153137,0.9644907623488822,0.9585995794511305,49891.27439999902
"SVM (RBF, OvO)",15,0.9626148705096074,0.9557835180727143,0.9611617228759138,0.9519768347092933,53262.71390000147
"SVM (RBF, OvO)",16,0.9611528822055138,0.9543408280454059,0.959085688658914,0.950671862489601,59005.95559999965
"SVM (RBF, OvO)",17,0.9626148705096074,0.9563342029223169,0.958913236994472,0.9546929962915667,52964.21370000098
"SVM (RBF, OvO)",18,0.9624020887728459,0.9558314638506197,0.9607090663000996,0.9523088784239658,51692.025500000454
"SVM (RBF, OvO)",19,0.9625065274151436,0.9563286068955196,0.9579311013669236,0.9556809523637441,51039.58840000087
"SVM (RBF, OvO)",20,0.9608355091383812,0.9538717705142595,0.9580133645222094,0.9509897747229049,55807.141299999785
"SVM (RBF, OvO)",21,0.9632414369256475,0.9566095615491822,0.96076152601785,0.9536724391147825,53297.74170000019
"SVM (RBF, OvO)",22,0.9627192982456141,0.9560911082180401,0.9592365039629048,0.9539766846278961,53905.62619999946
"SVM (RBF, OvO)",23,0.9617794486215538,0.9552168808689107,0.9604016312386877,0.9514018266055425,51154.71720000096
"SVM (RBF, OvO)",24,0.9650167084377611,0.9592141382293867,0.9630948564557779,0.9563812036739008,49661.35440000107
"SVM (RBF, OvO)",25,0.9627192982456141,0.95611181682328,0.9613105892271491,0.9521985772582896,51816.34979999944
"SVM (RBF, OvO)",26,0.9638680033416875,0.9576836205035368,0.9605319753201483,0.9556627157050964,51736.01680000138
"SVM (RBF, OvO)",27,0.9592731829573935,0.9526872218244279,0.9560968756488367,0.9506540936811324,55519.1648
